pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
ex0,neutral,The animator contacted the therapist in front of the actor .,The therapist contacted the actor .,The animator is not the therapist and the therapist is not the actor .,,,,,,,,,,,,,,
ex1,neutral,The judges advised the secretary by the students .,The students advised the judges .,The judges is not the students and the secretary is not the judges .,,,,,,,,,,,,,,
ex2,neutral,The scientists believed the officer in front of the singers .,The officer believed the singers .,The scientists is not the officer and the officer is not the singers .,,,,,,,,,,,,,,
ex3,neutral,The doctors in front of the professors introduced the president .,The president introduced the professors .,The doctors introduced the president .,,,,,,,,,,,,,,
ex4,neutral,The directors next to the sculptors recognized the photojournalists .,The photojournalists recognized the sculptors .,The directors recognized the photojournalists .,,,,,,,,,,,,,,
ex5,neutral,The professor in front of the potter saw the singers .,The potter saw the professor .,The professor saw the singers .,,,,,,,,,,,,,,
ex6,neutral,The secretary avoided the strategist next to the musicians .,The strategist avoided the musicians .,The secretary is not the strategist and the strategist is not the musicians .,,,,,,,,,,,,,,
ex7,neutral,The tourists by the authors encouraged the sculptor .,The sculptor encouraged the tourists .,The tourists encouraged the sculptor .,,,,,,,,,,,,,,
ex8,neutral,The athletes next to the scientist introduced the therapists .,The therapists introduced the scientist .,The athletes introduced the therapists .,,,,,,,,,,,,,,
ex9,neutral,The writer next to the banker saw the singers .,The singers saw the banker .,The writer saw the singers .,,,,,,,,,,,,,,
ex10,neutral,The scientist in front of the judge contacted the essayists .,The essayists contacted the scientist .,The scientist contacted the essayists .,,,,,,,,,,,,,,
ex11,neutral,The therapist introduced the athletes next to the animator .,The athletes introduced the animator .,The therapist is not the athletes and the athletes is not the animator .,,,,,,,,,,,,,,
ex12,neutral,The president believed the animators next to the planners .,The animators believed the planners .,The president is not the animators and the animators is not the planners .,,,,,,,,,,,,,,
ex13,neutral,The actor by the judge encouraged the doctor .,The doctor encouraged the actor .,The actor encouraged the doctor .,,,,,,,,,,,,,,
ex14,neutral,The administrators stopped the actors behind the pencillers .,The actors stopped the pencillers .,The administrators is not the actors and the actors is not the pencillers .,,,,,,,,,,,,,,
ex15,neutral,The colorist in front of the designers believed the athlete .,The athlete believed the designers .,The colorist believed the athlete .,,,,,,,,,,,,,,
ex16,neutral,The lawyer in front of the student supported the dancers .,The dancers supported the lawyer .,The lawyer supported the dancers .,,,,,,,,,,,,,,
ex17,neutral,The photojournalists next to the essayist recommended the banker .,The essayist recommended the photojournalists .,The photojournalists recommended the banker .,,,,,,,,,,,,,,
ex18,neutral,The lawyer by the tourists supported the illustrator .,The illustrator supported the tourists .,The lawyer supported the illustrator .,,,,,,,,,,,,,,
ex19,neutral,The essayist behind the officers introduced the essayists .,The essayists introduced the essayist .,The essayist introduced the essayists .,,,,,,,,,,,,,,
ex20,neutral,The professor helped the judge next to the authors .,The authors helped the professor .,The professor is not the authors and the judge is not the professor .,,,,,,,,,,,,,,
ex21,neutral,The photojournalist behind the strategists called the writers .,The strategists called the photojournalist .,The photojournalist called the writers .,,,,,,,,,,,,,,
ex22,neutral,The students by the penciller helped the writer .,The writer helped the students .,The students helped the writer .,,,,,,,,,,,,,,
ex23,neutral,The secretary believed the photojournalist in front of the photographers .,The photojournalist believed the secretary .,The secretary believed the photojournalist .,,,,,,,,,,,,,,
ex24,neutral,The planner called the scientists next to the designer .,The designer called the planner .,The planner is not the designer and the scientists is not the planner .,,,,,,,,,,,,,,
ex25,neutral,The senator believed the scientists behind the designer .,The scientists believed the senator .,The senator believed the scientists .,,,,,,,,,,,,,,
ex26,neutral,The scientist thanked the dancer behind the bakers .,The bakers thanked the scientist .,The scientist is not the bakers and the dancer is not the scientist .,,,,,,,,,,,,,,
ex27,neutral,The sculptors saw the presidents next to the artisan .,The artisan saw the sculptors .,The sculptors is not the artisan and the presidents is not the sculptors .,,,,,,,,,,,,,,
ex28,neutral,The author supported the essayist behind the planners .,The essayist supported the author .,The author supported the essayist .,,,,,,,,,,,,,,
ex29,neutral,The administrator near the therapist called the artisans .,The therapist called the administrator .,The administrator called the artisans .,,,,,,,,,,,,,,
ex30,neutral,The architects in front of the artisans thanked the colorists .,The colorists thanked the artisans .,The architects thanked the colorists .,,,,,,,,,,,,,,
ex31,neutral,The lyricists next to the actor stopped the singer .,The actor stopped the lyricists .,The lyricists stopped the singer .,,,,,,,,,,,,,,
ex32,neutral,The bakers helped the scientists near the potters .,The potters helped the bakers .,The bakers is not the potters and the scientists is not the bakers .,,,,,,,,,,,,,,
ex33,neutral,The sculptors believed the lyricists in front of the secretaries .,The lyricists believed the sculptors .,The sculptors believed the lyricists .,,,,,,,,,,,,,,
ex34,neutral,The managers behind the photojournalists stopped the illustrator .,The photojournalists stopped the managers .,The managers stopped the illustrator .,,,,,,,,,,,,,,
ex35,neutral,The lyricist next to the managers advised the colorists .,The colorists advised the lyricist .,The lyricist advised the colorists .,,,,,,,,,,,,,,
ex36,neutral,The directors mentioned the doctors by the illustrator .,The doctors mentioned the directors .,The directors mentioned the doctors .,,,,,,,,,,,,,,
ex37,neutral,The judge saw the pencillers by the artists .,The pencillers saw the judge .,The judge saw the pencillers .,,,,,,,,,,,,,,
ex38,neutral,The sculptors in front of the banker saw the artists .,The artists saw the banker .,The sculptors saw the artists .,,,,,,,,,,,,,,
ex39,neutral,The senators in front of the bankers contacted the sculptors .,The bankers contacted the senators .,The senators contacted the sculptors .,,,,,,,,,,,,,,
ex40,neutral,The musicians near the baker avoided the manager .,The manager avoided the musicians .,The musicians avoided the manager .,,,,,,,,,,,,,,
ex41,neutral,The officers saw the actors behind the presidents .,The actors saw the presidents .,The officers is not the actors and the actors is not the presidents .,,,,,,,,,,,,,,
ex42,neutral,The essayists helped the director near the student .,The director helped the student .,The essayists is not the director and the director is not the student .,,,,,,,,,,,,,,
ex43,neutral,The musician near the banker encouraged the student .,The banker encouraged the musician .,The musician encouraged the student .,,,,,,,,,,,,,,
ex44,neutral,The strategists stopped the presidents behind the author .,The author stopped the strategists .,The strategists is not the author and the presidents is not the strategists .,,,,,,,,,,,,,,
ex45,neutral,The architect encouraged the bakers next to the potters .,The bakers encouraged the architect .,The architect encouraged the bakers .,,,,,,,,,,,,,,
ex46,neutral,The designers near the photographer advised the secretary .,The secretary advised the designers .,The designers advised the secretary .,,,,,,,,,,,,,,
ex47,neutral,The scientists in front of the musician thanked the administrators .,The administrators thanked the musician .,The scientists thanked the administrators .,,,,,,,,,,,,,,
ex48,neutral,The musician believed the actors behind the curator .,The actors believed the musician .,The musician believed the actors .,,,,,,,,,,,,,,
ex49,neutral,The therapists believed the bankers behind the administrators .,The bankers believed the therapists .,The therapists believed the bankers .,,,,,,,,,,,,,,
ex50,neutral,The artisans admired the artists next to the animator .,The animator admired the artisans .,The artisans is not the animator and the artists is not the artisans .,,,,,,,,,,,,,,
ex51,neutral,The writers near the essayists introduced the secretaries .,The secretaries introduced the essayists .,The writers introduced the secretaries .,,,,,,,,,,,,,,
ex52,neutral,The secretaries mentioned the student next to the animator .,The student mentioned the animator .,The secretaries is not the student and the student is not the animator .,,,,,,,,,,,,,,
ex53,neutral,The planner saw the dancers behind the singers .,The singers saw the planner .,The planner is not the singers and the dancers is not the planner .,,,,,,,,,,,,,,
ex54,neutral,The illustrator by the sculptor mentioned the athletes .,The athletes mentioned the sculptor .,The illustrator mentioned the athletes .,,,,,,,,,,,,,,
ex55,neutral,The dancer encouraged the architect near the manager .,The architect encouraged the dancer .,The dancer encouraged the architect .,,,,,,,,,,,,,,
ex56,neutral,The actor behind the secretaries recognized the lawyers .,The lawyers recognized the secretaries .,The actor recognized the lawyers .,,,,,,,,,,,,,,
ex57,neutral,The lawyer behind the professors admired the scientists .,The scientists admired the professors .,The lawyer admired the scientists .,,,,,,,,,,,,,,
ex58,neutral,The writers in front of the directors mentioned the presidents .,The directors mentioned the writers .,The writers mentioned the presidents .,,,,,,,,,,,,,,
ex59,neutral,The artists in front of the baker believed the president .,The president believed the artists .,The artists believed the president .,,,,,,,,,,,,,,
ex60,neutral,The planners supported the doctor next to the tourists .,The doctor supported the tourists .,The planners is not the doctor and the doctor is not the tourists .,,,,,,,,,,,,,,
ex61,neutral,The animator advised the president in front of the lawyer .,The lawyer advised the animator .,The animator is not the lawyer and the president is not the animator .,,,,,,,,,,,,,,
ex62,neutral,The professor introduced the pencillers in front of the musician .,The pencillers introduced the musician .,The professor is not the pencillers and the pencillers is not the musician .,,,,,,,,,,,,,,
ex63,neutral,The photojournalists avoided the photographers in front of the officers .,The photographers avoided the officers .,The photojournalists is not the photographers and the photographers is not the officers .,,,,,,,,,,,,,,
ex64,neutral,The director advised the planners next to the penciller .,The penciller advised the director .,The director is not the penciller and the planners is not the director .,,,,,,,,,,,,,,
ex65,neutral,The senators stopped the therapists behind the athlete .,The athlete stopped the senators .,The senators is not the athlete and the therapists is not the senators .,,,,,,,,,,,,,,
ex66,neutral,The director supported the secretaries next to the colorists .,The secretaries supported the colorists .,The director is not the secretaries and the secretaries is not the colorists .,,,,,,,,,,,,,,
ex67,neutral,The manager supported the essayist by the colorists .,The essayist supported the colorists .,The manager is not the essayist and the essayist is not the colorists .,,,,,,,,,,,,,,
ex68,neutral,The architect stopped the bakers in front of the baker .,The bakers stopped the baker .,The architect is not the bakers and the bakers is not the baker .,,,,,,,,,,,,,,
ex69,neutral,The essayist recognized the baker behind the doctors .,The baker recognized the doctors .,The essayist is not the baker and the baker is not the doctors .,,,,,,,,,,,,,,
ex70,neutral,The stylists recommended the colorists in front of the banker .,The colorists recommended the banker .,The stylists is not the colorists and the colorists is not the banker .,,,,,,,,,,,,,,
ex71,neutral,The tourist next to the directors supported the designers .,The designers supported the tourist .,The tourist supported the designers .,,,,,,,,,,,,,,
ex72,neutral,The president called the colorists behind the potter .,The colorists called the president .,The president called the colorists .,,,,,,,,,,,,,,
ex73,neutral,The bakers called the designer behind the lyricists .,The lyricists called the bakers .,The bakers is not the lyricists and the designer is not the bakers .,,,,,,,,,,,,,,
ex74,neutral,The administrators encouraged the authors next to the bakers .,The authors encouraged the bakers .,The administrators is not the authors and the authors is not the bakers .,,,,,,,,,,,,,,
ex75,neutral,The photojournalist near the penciller saw the writers .,The writers saw the penciller .,The photojournalist saw the writers .,,,,,,,,,,,,,,
ex76,neutral,The directors encouraged the photojournalists behind the senator .,The photojournalists encouraged the senator .,The directors is not the photojournalists and the photojournalists is not the senator .,,,,,,,,,,,,,,
ex77,neutral,The baker admired the strategists behind the singer .,The strategists admired the singer .,The baker is not the strategists and the strategists is not the singer .,,,,,,,,,,,,,,
ex78,neutral,The potters in front of the judges believed the artist .,The judges believed the potters .,The potters believed the artist .,,,,,,,,,,,,,,
ex79,neutral,The planners supported the therapist behind the athletes .,The therapist supported the athletes .,The planners is not the therapist and the therapist is not the athletes .,,,,,,,,,,,,,,
ex80,neutral,The therapist in front of the penciller introduced the tourist .,The tourist introduced the penciller .,The therapist introduced the tourist .,,,,,,,,,,,,,,
ex81,neutral,The dancers near the president stopped the stylist .,The stylist stopped the president .,The dancers stopped the stylist .,,,,,,,,,,,,,,
ex82,neutral,The doctor behind the directors stopped the animator .,The animator stopped the directors .,The doctor stopped the animator .,,,,,,,,,,,,,,
ex83,neutral,The photographer near the artisan recommended the planner .,The planner recommended the photographer .,The photographer recommended the planner .,,,,,,,,,,,,,,
ex84,neutral,The strategists called the animators behind the director .,The animators called the director .,The strategists is not the animators and the animators is not the director .,,,,,,,,,,,,,,
ex85,neutral,The doctors thanked the architects behind the scientist .,The scientist thanked the doctors .,The doctors is not the scientist and the architects is not the doctors .,,,,,,,,,,,,,,
ex86,neutral,The athlete near the artists thanked the manager .,The manager thanked the artists .,The athlete thanked the manager .,,,,,,,,,,,,,,
ex87,neutral,The curators behind the animators helped the essayists .,The essayists helped the curators .,The curators helped the essayists .,,,,,,,,,,,,,,
ex88,neutral,The curator contacted the photographer near the penciller .,The photographer contacted the curator .,The curator contacted the photographer .,,,,,,,,,,,,,,
ex89,neutral,The professors introduced the colorist in front of the banker .,The colorist introduced the professors .,The professors introduced the colorist .,,,,,,,,,,,,,,
ex90,neutral,The lawyer encouraged the director behind the dancers .,The dancers encouraged the lawyer .,The lawyer is not the dancers and the director is not the lawyer .,,,,,,,,,,,,,,
ex91,neutral,The singer in front of the sculptors supported the designers .,The designers supported the sculptors .,The singer supported the designers .,,,,,,,,,,,,,,
ex92,neutral,The secretaries supported the animators next to the illustrators .,The illustrators supported the secretaries .,The secretaries is not the illustrators and the animators is not the secretaries .,,,,,,,,,,,,,,
ex93,neutral,The artisans by the judges supported the musicians .,The musicians supported the artisans .,The artisans supported the musicians .,,,,,,,,,,,,,,
ex94,neutral,The writer contacted the athletes near the secretary .,The athletes contacted the secretary .,The writer is not the athletes and the athletes is not the secretary .,,,,,,,,,,,,,,
ex95,neutral,The animators by the musician called the student .,The student called the animators .,The animators called the student .,,,,,,,,,,,,,,
ex96,neutral,The therapists near the strategist mentioned the officer .,The officer mentioned the strategist .,The therapists mentioned the officer .,,,,,,,,,,,,,,
ex97,neutral,The colorist supported the author next to the photographer .,The author supported the photographer .,The colorist is not the author and the author is not the photographer .,,,,,,,,,,,,,,
ex98,neutral,The writer believed the judges behind the potter .,The potter believed the writer .,The writer is not the potter and the judges is not the writer .,,,,,,,,,,,,,,
ex99,neutral,The directors near the colorist avoided the bankers .,The bankers avoided the colorist .,The directors avoided the bankers .,,,,,,,,,,,,,,
ex100,neutral,The singer next to the therapist avoided the scientists .,The scientists avoided the therapist .,The singer avoided the scientists .,,,,,,,,,,,,,,
ex101,neutral,The student thanked the presidents by the illustrator .,The presidents thanked the student .,The student thanked the presidents .,,,,,,,,,,,,,,
ex102,neutral,The athlete by the senators helped the therapists .,The senators helped the athlete .,The athlete helped the therapists .,,,,,,,,,,,,,,
ex103,neutral,The penciller stopped the bakers behind the planners .,The bakers stopped the penciller .,The penciller stopped the bakers .,,,,,,,,,,,,,,
ex104,neutral,The artists called the students near the singer .,The students called the artists .,The artists called the students .,,,,,,,,,,,,,,
